"Indicator Code","Country or Area Code","Country or Area","Time Code","Year","Value","Value Footnotes"
"EN.ATM.CO2E.PC","AGO","Angola","YR1989","1989","0.462907836915506",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1988","1988","0.486503528149711",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1987","1987","0.565431153429145",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1986","1986","0.464973712301845",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1985","1985","0.48240053137906",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1984","1984","0.53035103110477",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1983","1983","0.560374447276187",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1982","1982","0.527930762731946",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1981","1981","0.621382804088045",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1980","1980","0.651061684496374",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1979","1979","0.692097154214032",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1978","1978","0.701359921079561",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1977","1977","0.471248793545669",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1976","1976","0.450116911989137",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1975","1975","0.62119889117354",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1974","1974","0.703873436197644",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1973","1973","0.72305504343195",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1972","1972","0.684120293634434",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1971","1971","0.529744961084372",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1970","1970","0.568588577407697",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1969","1969","0.451125604452011",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1968","1968","0.275655471214261",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1967","1967","0.166658588848149",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1966","1966","0.265164145789731",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1965","1965","0.206088958851002",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1964","1964","0.21617413273309",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1963","1963","0.206877060796923",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1962","1962","0.21602534255535",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1961","1961","0.0847184061519349",""
"EN.ATM.CO2E.PC","AGO","Angola","YR1960","1960","0.10435710106389",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2011","2011","5.8238043379617",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2010","2010","6.01126867125973",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2009","2009","5.90629200463499",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2008","2008","5.6283186877563",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2007","2007","5.56152469874522",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2006","2006","5.0962895515593",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2005","2005","4.97431114879186",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2004","2004","4.98099561908025",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2003","2003","4.80448432710373",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2002","2002","4.53621142071723",""
